obat_id,label,nilai,urutan
105,Indikasi Umum,"Obat ini digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin.",2
105,Komposisi,"Paracetamol 500 mg, Pseudoefedrin HCL 7.5 mg, Klorfeniramin maleat 2 mg.",3
105,Dosis,Dewasa : 1 tablet 3 kali per hari. Anak 6-12 tahun : 0.5 tablet 3 kali sehari.,4
105,Aturan Pakai,Sebelum atau sesudah makan.,5
105,Perhatian,"Hati-hati penggunaan pada penderita tekanan darah tinggi atau yang mempunyai potensi tekanan darah tinggi atau stroke seperti pada penderita dengan berat badan berlebih (over weight) atau usia lanjut. Tidak boleh melebihi dosisi yang dianjurkan. Bila dalam 3 hari gejala flyu tidak berkurang segera hubungi dokter atau unit pelayanan kesehatan. Hetintikan penggunaan obat ini jika terjadi susah tidur, jantung berdebar dan pusing. Kategori kehamilan : Belum terdapat data keamanan terkait penggunaan obat ini pada wanita hamil dan/atau menyusui. Konsultasikan kepada dokter apabila Anda sedang hamil dan/atau menyusui.",6
105,Kontra Indikasi,"Pasien dengan riwayat hipersensitif terhadap salah satu komposisi dari Demacolin. Pasien yang memiliki riwayat gangguan fungsi hati yang berat. Pasien yang peka terhadap obat simpatomimetik lain, penderita tekanan darah tinggi berat dan yang mendapat terapi obat anti depresan MAO.",7
105,Efek Samping,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: mengantuk, gangguan pencernaan, insomnia, gelisah, eksitasi, tremor, takikardi, aritmia ventrikuler, mulut kering, palpitasi sulit berkemih. Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati.",8
105,Kemasan,Strip @ 10 Tablet,9
105,Manufaktur,Coronet Crown,10
105,No. Registrasi,BPOM: DTL7204217010A1,11
106,Product Description,"Sanmol Forte Tablet merupakan obat dengan kandungan Paracetamol 650 mg. Obat ini digunakan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam. Sanmol Forte bekerja pada pusat pengatur suhu di hipotalamus untuk menurunkan suhu tubuh (antipiretik) serta menghambat sintesis prostaglandin sehingga dapat mengurangi nyeri ringan sampai sedang (analgetik).",1
106,Indikasi Umum,"Obat ini digunakan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam.",2
106,Komposisi,Paracetamol 650 mg.,3
106,Dosis,"Dewasa dan anak usia lebih dari 12 tahun : 1 tablet, diberikan 3-4 kali sehari.",4
106,Aturan Pakai,Dikonsumsi sebelum atau sesudah makan.,5
106,Perhatian,"Hati-hati penggunaan obat ini pada penderita penyakit ginjal. Bila setelah 2 hari demam tidak menurun atau setelah 5 hari nyeri tidak menghilang, segera hubungi Unit Pelayanan Kesehatan. Penggunaan obat ini pada penderita yang mengkonsumsi alkohol, dapat meningkatkan risiko kerusakan fungsi hati.",6
106,Kontra Indikasi,"Penderita gangguan fungsi hati yang berat, hipersensitivitas terhadap Paracetamol.",7
106,Efek Samping,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Hematologi, reaksi kulit, reaksi alergi lainnya, kerusakan hati (penggunaan jangka panjang dan overdosis).",8
106,Kemasan,1 Strip @ 4 Tablet,9
106,Manufaktur,Sanbe Farma,10
106,No. Registrasi,BPOM: DBL1122235610B1,11
107,Product Description,"Koyo Salonpas merupakan plester dengan kandungan mentol, camphor, dan metil salisilat yang mambantu meredakan rasa nyeri yang disebabkan oleh nyeri otot, nyeri sendi, terkilir, dan punggung pegal.",1
107,Indikasi Umum,"Membantu meredakan rasa nyeri yang disebabkan oleh nyeri otot, sakit otot leher, punggung pegal, sakit kepala, sakit gigi, memar, terkilir dan nyeri sendi.",2
107,Komposisi,"Methyl salicilate 7.18 g , Menthol 5.66 g, dan Camphor 1.24 g.",3
107,Dosis,"Dewasa dan anak > 12 tahun:cDi tempelkan di area yang sakit, lepaskan setelah 8 jam pemakaian atau plester diganti 23 kali per hari. Tidak boleh digunakan lebih dari 4 x sehari. Anak usia < 12 tahun: konsultasi ke dokter.",4
107,Aturan Pakai,"Bersihkan dan keringkan bagian yang sakit, lepaskan kertas dan tempelkan salonpas koyo hijau ke bagian yang sakit, dan lepaskan setelah 8 jam pemakaian.",5
107,Perhatian,"Hanya untuk pemakaian luar. Jangan digunakan pada luka atau kulit yang rusak, pada orang yang alergi terhadap aspirin atau salisilat. Hindari kontak dengan mata, selaput lendir, atau ruam.",6
107,Kontra Indikasi,Hipersensitivitas.,7
107,Efek Samping,"kemerahan, gatal, atau iritasi kulit.",8
107,Kemasan,1 Sachet @ 10 Lembar,9
107,Manufaktur,Hisamitsu,10
107,No. Registrasi,BPOM: QL031800111,11
108,Product Description,Lacto-B merupakan suplemen dengan kandungan probiotik yang membantu fungsi saluran pencernaan. Lacto-B dapat digunakan untuk mengobati diare dan pencegahan intoleransi laktosa pada anak 1-12 tahun.,1
108,Indikasi Umum,Terapi pengobatan diare dan intoleransi laktosa.,2
108,Komposisi,"Serbuk krim nabati, Dekstrosa, Campuran bakteri laktat (Lactobacillus Acidophilus, Bifidobacterium Longum, Streptococcus Thermophillus), Vitamin C, Vitamin B1, Vitamin B2, Vitamin B6, Niacin, Zinc",3
108,Dosis,Anak 1-12 tahun : 3 sachet/hari.,4
108,Aturan Pakai,Dapat dikonsumsi langsung dengan melarutkannya bersama air putih atau dikonsumsi bersama makanan untuk mengurangi ketidak-nyamanan pencernaan.,5
108,Perhatian,"Gunakan berdasarkan petunjuk dokter. Hati-hati terhadap penggunaan Lacto-B jika memiliki reaksi alergi terhadap produk probiotik dan segera ke dokter jika muncul gejala dehidrasi, seperti mulut kering, menangis tanpa air mata, buang air kecil berkurang, tampak lemas dan mengantuk, atau rewel. Produk ini wajib dikirim melalui pengiriman Instant. Langsung dikonsumsi setelah dibuka. Simpan di bawah suhu 25 derajat Celcius.",6
108,Kontra Indikasi,Hipersensitif terhadap produk probiotik.,7
108,Efek Samping,"Reaksi efek samping yang mungkin terjadi diantaranya: perut kembung, rasa tidak nyaman pada perut, adanya reaksi alergi pada bakteri laktat (Lactobacillus Acidophilus, Bifidobacterium Longum, Streptococcus Thermophillus) yang biasanya ditandai dengan adanya pembengkakan pada wajah, bibir, lidah, atau tenggorokan atau gatal-gatal dan kemerahan pada kulit.",8
108,Kemasan,"Box, 10 Sachet",9
108,Manufaktur,Novell Pharmaceutical Laboratories,10
108,No. Registrasi,BPOM: ML660618001081,11
109,Product Description,"Degirol Lemon Tablet merupakan tablet hisap yang mengandung Dequalinium Chloride. Obat ini digunakan untuk mengobati sakit tenggorokan, radang atau infeksi pada rongga mulut dan tenggorokan, serta pencegahan flu dan batuk.",1
109,Indikasi Umum,"Obat ini digunakan untuk sakit tenggorokan, peradangan pada rongga mulut dan tenggorokan seperti gingivitis, periodontitis, faringitis, laringitis dan angina, serta infeksi selaput lendir mulut seperti stomatitis.",2
109,Komposisi,"Dequalinium Chloride 0,25 mg.",3
109,Dosis,"Dewasa: 1 tablet dihisap, tiap 3 4 jam. Maksimal 8 tablet per hari",4
109,Aturan Pakai,Satu tablet dibiarkan melarut perlahan-lahan di dalam mulut.,5
109,Perhatian,Hindari pemakaian jangka panjang dan berulang. Belum terdapat data keamanan terkait penggunaan obat ini pada wanita hamil dan/atau menyusui. Konsultasikan kepada dokter apabila Anda sedang hamil dan/atau menyusui.,6
109,Kontra Indikasi,Penderita Hipersensitif atau alergi terhadap Dequalinium Chloride.,7
109,Efek Samping,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis.",8
109,Kemasan,1 Strip @ 10 Tablet,9
109,Manufaktur,Darya Varia Laboratoria,10
109,No. Registrasi,BPOM: DBL9104508712A1,11
110,Product Description,"Sanmol Tablet merupakan obat dengan kandungan Paracetamol 500 mg. Obat ini digunakan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam. Sanmol bekerja pada pusat pengatur suhu di hipotalamus untuk menurunkan suhu tubuh (antipiretik) serta menghambat sintesis prostaglandin sehingga dapat mengurangi nyeri ringan sampai sedang (analgesik).",1
110,Indikasi Umum,"Obat ini digunakan untuk meringankan rasa sakit pada keadaan sakit kepala, sakit gigi dan menurunkan demam.",2
110,Komposisi,Setiap tablet mengandung Paracetamol 500 mg.,3
110,Dosis,"Dewasa dan anak >12 tahun: 1 tablet, 3-4 kali per hari. Anak: 1/2 1 tablet, 3-4 kali sehari. Atau sesuai petunjuk dokter.",4
110,Aturan Pakai,Obat dapat diminum sebelum atau sesudah makan.,5
110,Perhatian,"Hati-hati penggunaan obat ini pada penderita penyakit ginjal. Bila setelah 2 hari demam tidak menurun atau setelah 5 hari nyeri tidak menghilang, segera hubungi Unit Pelayanan Kesehatan. Penggunaan obat ini pada penderita yang mengkonsumsi alkohol, dapat meningkatkan risiko kerusakan fungsi hati.",6
110,Kontra Indikasi,Penderita gangguan fungsi hati yang berat. Hipersensitivitas terhadap Paracetamol.,7
110,Efek Samping,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis. Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Hematologi, reaksi kulit, reaksi alergi lainnya, kerusakan hati (penggunaan jangka panjang dan overdosis).",8
110,Kemasan,1 Strip @ 4 Tablet,9
110,Manufaktur,Sanbe Farma,10
110,No. Registrasi,BPOM: DBL7622235610A2,11
111,Product Description,"Produk multifungsi 4?in?1: double inhaler aromatherapy dan roll?on minyak angin dengan aroma fruity yang menyegarkan, juga bisa digunakan untuk kerokan dan pijat relaksasi",1
111,Indikasi Umum,#NAME?,2
111,Komposisi,"Double Inhaler (0,9?ml): Menthol 60?%, Eucalyptus Oil 27?%, Lemon Oil 1?%, pelarut hingga 100?%.\nRoll?On (8?ml): Menthol 40?%, Camphor 5?%, Methyl Salicylate 0.5?%, Olive Oil 10?%, Lemon Oil 0.25?%, pelarut hingga 100?%.",3
111,Aturan Pakai,"Inhaler: Hirup sedalam mungkin sesering diperlukan untuk melegakan hidung tersumbat.\nRoll?On: Oleskan pada kening, dada, leher, atau bagian tubuh lain yang perlu.\nUntuk kerokan: gunakan tutup bulat sebagai alat kerokan ringan (punggung/pundak/leher).\nUntuk pijat relaksasi: gunakan ujung tumpul sebagai penekan lembut di otot yang pegal.",4
111,Perhatian,Tidak untuk anak di bawah 2?tahun.\nJangan digunakan langsung di bawah lubang hidung (hindari kontak langsung inhaler ke kulit dekat lubang hidung).\nHanya untuk pemakaian luar.\nHentikan penggunaan jika muncul iritasi.,5
111,Kontra Indikasi,"Hipersensitivitas terhadap menthol, camphor, methyl salicylate, lemon oil, eucalyptus oil, atau komponen lainnya.\nKulit luka terbuka, kulit teriritasi atau area kulit sensitif.\nAnak kecil di bawah usia 2 tahun tidak boleh menggunakan produk ini.",6
111,Kemasan,Pieces @ 8 ml,7
111,Manufaktur,"Ultra Sakti ,Pt.",8
111,No. Registrasi,BPOM RI: QD236020821,9
112,Product Description,"Strocain Tablet merupakan obat denagn kandungan Polymigel yang digunakan untuk mengatasi kelebihan asam lambung, ulkus lambung, usus 12 jari dengan gejala seperti mual, heartburn, dan kembung. Obat ini tidak boleh digunakan secara terus menerus selama 2 minggu kecuali atas perintah dokter.",1
112,Indikasi Umum,"Sakit maag, Mual, Hiperasiditas, Nyeri perut, Kembung, yang disebabkan oleh ulkus/tukak lambung/usus halus & gastritis.",2
112,Komposisi,Polymigel 400 mg.,3
112,Dosis,Dewasa : 3-4 x sehari 1-2 tablet.,4
112,Aturan Pakai,Diberikan 30-60 menit sebelum makan atau sebelum tidur.,5
112,Perhatian,"Diet rendah fosfat, disfungsi ginjal, penggunaan lama, hiperkalsemia.",6
112,Kontra Indikasi,"Hipo atau hipertirod, dialisis.",7
112,Efek Samping,"Diare, konstipasi, mual, muntah.",8
112,Kemasan,1 Strip @ 10 Tablet,9
112,Manufaktur,Eisai,10
112,No. Registrasi,BPOM: DBL7206102310A1,11
113,Product Description,"FreshCare Smash Matcha 4 in 1 adalah produk inovatif yang menggabungkan double inhaler dan roll on dalam satu kemasan yang menyegarkan dan menghangatkan, dengan aroma Matcha yang khas. Produk ini pertama kali hadir di Indonesia dengan berbagai manfaat seperti untuk kerokan, pijat, dan relaksasi.",1
113,Indikasi Umum,"Membantu meredakan perut kembung, pusing, gejala masuk angin, mabuk perjalanan, pegal-pegal, dan gatal akibat gigitan serangga.",2
113,Komposisi,"Menthol 60%, Camphor 5.75%, Tea Seed Oil 0.25%, Base Ad 100%, Menthol 30%, Camphor 5%, Olive Oil 10%, Tea Seed Oil 0.25%, Base Ad 100%",3
113,Dosis,Secukupnya.,4
113,Aturan Pakai,"Gosokkan secukupnya pada kening, dada, hidung, atau bagian tubuh lain yang terasa sakit.",5
113,Perhatian,"Obat luar, hanya untuk penggunaan di luar tubuh. Tidak digunakan untuk anak di bawah 2 tahun. Jangan digunakan langsung di bawah lubang hidung. Simpan di tempat yang tidak lebih dari suhu 30°C.",6
113,Kemasan,Tube @ 8 ml,7
113,Manufaktur,"Ultra Sakti ,PT.",8
113,No. Registrasi,BPOM RI: QD212697651,9
114,Product Description,"Esemag Sidomuncul mengandung zat aktif Curcuminoid dari Kunyit, Licorice dan meniran yang baik untuk membantu meringankan gangguan lambung seperti mual, muntah, rasa perih / tidak enak di ulu hati.",1
114,Indikasi Umum,"Membantu meringankan gangguan lambung, seperti mual, muntah, rasa perih / tidak enak di ulu hati.",2
114,Komposisi,"Curcuma domestica rhizoma extract 500mg, licorice extract 20mg, phyllanthus niruri herba extract 5mg, gula, fruktosa, madu.",3
114,Dosis,"1 sachet, 3 x sehari",4
114,Aturan Pakai,Sebelum atau sesudah makan,5
114,Kemasan,Box @ 5 sachet,6
114,Manufaktur,PT INDUSTRI JAMU DAN FARMASI SIDO MUNCUL TBK,7
114,No. Registrasi,BPOM: TR142678931,8
115,Product Description,"Obat ini digunakan untuk meringankan sakit kepala, sakit gigi, dan menurunkan demam.",1
115,Komposisi,Tiap tablet mengandung: Paracetamol 600 mg dan Caffeine 50 mg,2
115,Dosis,besar dapat menyebabkan kerusakan hati,3
115,Perhatian,"Penderita dengan gangguan fungsi hati,Penderita yang hipersensitif terhadap salah satu atau seluruh komponen obat",4
116,Product Description,"Paratusin digunakan untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk. Noscapine sebagai antitusif yang bisa menekan refleks batuk. Paracetamol berefek meredakan demam dan pereda nyeri. Chlorpheniramine maleate yang bekerja sebagai antihistamin/anti alergi untuk meredakan gejala alergi seperti bersin-bersin. Gliceryl guaiacolate digunakan sebagai ekspektoran atau peluruh dahak sehingga dapat meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk.",1
116,Indikasi Umum,"Obat ini digunakan untuk meringankan gejala-gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin yang disertai batuk.",2
116,Komposisi,"Noscapine 10 mg, chlorpheniramine maleate 2 mg, glyceryl guaiacolate 50 mg, paracetamol 500 mg, phenylpropanolamine HCl 15 mg.",3
116,Dosis,Dewasa: 3 kali sehari 1 tablet. Anak (6 12 tahun) : 3 kali sehari 1/2 tablet.,4
116,Aturan Pakai,Obat diminum sesudah makan.,5
116,Perhatian,"Hati-hati penggunaan pada penderita dengan gangguan fungsi hati dan ginjal, glaukoma, hipertrofi prostat, hipertiroid dan retensi urin. Tidak dianjurkan penggunaan pada anak usia dibawah 6 tahun, wanita hamil dan menyusui, kecuali atas petunjuk dokter. Hati-hati penggunaan bersamaan dengan obat-obat lain yang menekan susunan syaraf pusat. Selama minum obat ini tidak boleh mengendarai kendaraan bermotor atau menjalankan mesin. Penggunaan pada penderita yang mengkonsumsi alkohol dapat meningkatkan resiko kerusakan fungsi hati.",6
116,Kontra Indikasi,Penderita dengan gangguan fungsi hati berat. Wanita usia subur karena mempunyai efek mutagenik yang potensial. Penderita yang hipersensitif terhadap salah satu komponen obat ini. Penderita dengan gangguan jantung dan diabetes melitus.,7
116,Efek Samping,"Mengantuk, gangguan pencernaan, gangguan psikomotor, takikardi, aritmia, mulut kering, palpitasi, retensi urin. Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati.",8
116,Kemasan,1 Strip @ 10 Tablet,9
116,Manufaktur,Darya Varia Laboratoria,10
116,No. Registrasi,BPOM: DTL1604525010A1,11
117,Product Description,"Hansaplast Wound Ointment merupakan salep penutup luka dengan kandungan white petrolatum, thin paraffin oil, ceresin wax, glycerin, panthenol, glyceryl stearate. Formulasi pada produk ini digunakan untuk membantu proses penyembuhan luka dengan mengurangi risiko luka membekas, melindungi dan menenangkan kulit yang rusak seperti kering dan pecah-pecah.",1
117,Indikasi Umum,"Membantu penyembuhan luka, mengurangi resiko terjadinya bekas luka, untuk luka bakar minor, sunburn, ruam kulit bayi.",2
117,Komposisi,"White Petrolatum, Thin Paraffin Oil, Ceresin Wax, Glycerin, Panthenol, Glyceryl Stearate.",3
117,Dosis,Dioleskan minimal 2x per hari pada bagian yang sakit.,4
117,Aturan Pakai,"Di oleskan pada bagian yang sakit. Setelah dioles, luka dapat ditutup dengan plester jika diperlukan.",5
117,Perhatian,"Kebanyakan luka dapat dirawat dengan baik di rumah, tetapi penting untuk berkonsultasi dengan dokter dan ikuti saran medis jika terjadi beberapa situasi seperti: Jika luka dalam dan tidak kunjung berhenti mengeluarkan darah, Jika luka menunjukkan gejala infeksi seperti kemerahan, panas, nyeri, dan pembengkakan, Jika ada benda asing yang tertingggal dalam luka.",6
117,Kemasan,Tube @ 20 Gram,7
117,Manufaktur,Beiersdorf Indonesia,8
117,No. Registrasi,Kemenkes RI: AKL21603918628,9
118,Product Description,Balsem Telon Tresno Joyo membantu menghangatkan tubuh sekaligus melegakan hidung tersumbat akibat gejala pilek dan batuk pada anak.,1
118,Indikasi Umum,"Mencegah dan mengobati masuk angin dan perut kembung pada bayi dan anak, juga dapat digunakan untuk ibu dan anak, juga dapat digunakan untuk ibu setelah melahirkan. Mengatasi rasa gatal dan mencegah terjadinya iritasi serta keinginan untuk menggaruk. Melegakan pernafasan karena hidung tersumbat, batuk, flu dan pilek. Meringankan sakit kepala.",2
118,Komposisi,"Aqua , Dibutyl Adipate , octocrylene , TitanIUm Dioxide , C12 15 Alkil Benzoat , gliserin , Dimethicone , butyl methoxydibenzoylmethane, Dietilamino Hydroxybenzoyl Hexyl Benzoat , PVP / Eicosene Copolymer , Panthenol , Bis Ethylhexyloxyphenol Methoxyphenyl Triazine , mikrokristalin Selulosa , Lauryl glucoside , cetearyl Alkohol , Cetyl palmitat , Cocoglycerides , diethylhexyl Butamido Triazone , gliseril Stearate , Tokoferil Asetat , Phenoxyethanol , SodIUm Sulfat cetearyl , Polyglyceryl 2 Dipolyhydroxystearate , Silica , Benzyl Alcohol , Selulosa gum , Parfum , Xanthan gum , sorbat Acid , Ethylhexylglycerin , DisodIUm EDTA , Asam Dehydracetic , Inulin , Lecithin.",3
118,Dosis,Sesuai kebutuhan.,4
118,Aturan Pakai,"Hirupkan dan oleskan pada dada dan punggung sebelum tidur, membuat anak Anda tidur lebih nyenyak.",5
118,Kemasan,Tube @ 20 Gram,6
118,Manufaktur,Ultrasakti,7
118,No. Registrasi,BPOM: QD123711141,8
119,Product Description,"Sriti Krim dapat digunakan untuk mengobati segala macam masalah kulit seperti jamuran, kadas, kurap, kudis, panuan, gatal-gatal, kemerahan, dan gatal.",1
119,Indikasi Umum,"Digunakan untuk mengobati segala macam masalah kulit seperti jamuran, kadas, kurap, kudis, panuan, gatal-gatal, kemerahan.",2
119,Komposisi,"Benzethonium Chlorida 0,2%.",3
119,Dosis,Oleskan 2-3 kali sehari.,4
119,Aturan Pakai,Oleskan tipis-tipis pada daerah yang sakit.,5
119,Perhatian,Hanya untuk pemakaian luar. Jangan digunakan pada luka yang terbuka dan jangan sampai terkena mata. Tidak dapat digunakan dalam jangka panjang.,6
119,Efek Samping,"Atrofi kulit, jerawat, alergi, peradangan folikel rambut.",7
119,Kemasan,Tube @ 10 Gram,8
119,Manufaktur,Tri Tunggal Cipta Anugerah,9
119,No. Registrasi,BPOM: PKD20501900605,10
120,Product Description,"Paracetamol kaplet merupakan obat yang dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam. Paracetamol bekerja pada pusat pengatur suhu di hipotalamus untuk menurunkan suhu tubuh (antipiretik) serta menghambat sintesis prostaglandin sehingga dapat mengurangi nyeri ringan sampai sedang (analgesik).",1
120,Indikasi Umum,"Obat ini digunakan untuk meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, nyeri otot, serta menurunkan demam.",2
120,Komposisi,Paracetamol 500 mg.,3
120,Dosis,Dewasa dan anak-anak 12 tahun ke atas: 1-2 kaplet sebanyak 3-4 kali/hari. Anak-anak 6-12 tahun: kaplet sebanyak 3-4 kali/hari.,4
120,Aturan Pakai,Dapat dikonsumsi dengan atau tanpa makanan.,5
120,Perhatian,Pasien yang mengalami kekurangan gizi kronis. Ibu hamil dan menyusui Pasien yang mengonsumsi alkohol. Pasien yang mengalami gangguan fungsi ginjal berat. Pasien penderita gangguan fungsi hati.,6
120,Kontra Indikasi,Pasien penderita penyakit hati berat. Pasien yang memiliki alergi terhadap paracetamol.,7
120,Efek Samping,Penggunaan untuk jangka waktu lama dan dosis besar dapat menyebabkan kerusakan fungsi hati. Reaksi hipersensitifitas/ alergi.,8
120,Kemasan,1 Strip @ 10 Kaplet,9
121,Product Description,"Combantrin Tablet 250 mg merupakan obat cacing yang bekerja untuk mengatasi cacing kremi (Enterobius vermicularis), cacing gelang (Ascaris lumbricoides), cacing tambang (Ancylostoma duodenale), Cacing tambang (Necator americanus), cacing Trichostrongyfus colubriformis dan Trichostrongylus orientalls. Obat ini mengandung zat aktif Pirantel Pamoat yang bekerja dengan melumpuhkan cacing dan mengeluarkannya dari dalam tubuh melalui tinja, biasanya tanpa memerlukan pencahar.",1
121,Indikasi Umum,"Obat cacing yang digunakan untuk mengatasi infeksi cacing kremi (enterobius vermicularis), cacing gelang (ascaris lumbricoides), cacing tambang (ancylostoma duodenale), cacing tambang (necator americanus), cacing trichostrongylus colubriformis dan trichostrongylus orientalis.",2
121,Komposisi,Setiap tablet Combantrin 250 mg mengandung Pirantel Pamoat setara dengan pirantel base 250 mg.,3
