id,nama,harga,diskon_persen,kategori,path_gambar
14,Zinc Plus Membantu Memenuhi Kebutuhan Zinc (10 Kapsul),45000,0,Vitamin dan Suplemen,products/Zinc-Plus-Membantu-Memenuhi-Kebutuhan-Zinc-(10-Kapsul).jpg
15,Expert Boost Gummy Vitamin D 600 IU (Pack 30 Gummy),71900,0,Vitamin dan Suplemen,products/Expert-Boost-Gummy-Vitamin-D-600-IU-(Pack-30-Gummy).jpg
16,Folavit 400 mcg Vitamin Asam Folat Ibu Hamil & Menyusui (10 Strip),135000,0,Vitamin dan Suplemen,products/Folavit-400-mcg-Vitamin-Asam-Folat-Ibu-Hamil-&-Menyusui-(10-Strip).jpg
17,Em Kapsul Capsul 12'S,23500,0,Vitamin dan Suplemen,products/Em-Kapsul-Capsul-12'S.jpg
18,Imboost Force Ultimate (Kaplet 10),107000,0,Vitamin dan Suplemen,products/Imboost-Force-Ultimate-(Kaplet-10).jpg
19,Calitoz/Calos 500 mg Membantu Mencegah Gangguan Metabolisme (60 Tablet),72000,0,Vitamin dan Suplemen,products/CalitozmiringCalos-500-mg-Membantu-Mencegah-Gangguan-Metabolisme-(60-Tablet).jpg
20,Vitamin B6 10 mg untuk Mencegah Defisiensi Vitamin B6 (10 Tablet),1550,0,Vitamin dan Suplemen,products/Vitamin-B6-10-mg-untuk-Mencegah-Defisiensi-Vitamin-B6-(10-Tablet).jpg
21,Antangin JRG Sirup untuk Masuk Angin 15 ml Box (5 Sachet),20500,0,Vitamin dan Suplemen,products/Antangin-JRG-Sirup-untuk-Masuk-Angin-15-ml-Box-(5-Sachet).jpg
22,Vitamin E IPI untuk Kebutuhan Vitamin E (30 Tablet),11700,0,Vitamin dan Suplemen,products/Vitamin-E-IPI-untuk-Kebutuhan-Vitamin-E-(30-Tablet).jpg
23,Sangobion (10 Capsul),22700,0,Vitamin dan Suplemen,products/Sangobion-(10-Capsul).jpg
24,Apialys untuk Meningkatkan Nafsu Makan & Menjaga Stamina Tubuh (100 ml),56700,0,Vitamin dan Suplemen,products/Apialys-untuk-Meningkatkan-Nafsu-Makan-&-Menjaga-Stamina-Tubuh-(100-ml).jpg
25,Maltofer Drops untuk Mencegah Anemia (30 ml),82700,0,Vitamin dan Suplemen,products/Maltofer-Drops-untuk-Mencegah-Anemia-(30-ml).jpg
26,Imboost (10 Tablet),41500,0,Vitamin dan Suplemen,products/Imboost-(10-Tablet).jpg
27,Prolacta DHA For Baby (10 Kapsul),74000,0,Vitamin dan Suplemen,products/Prolacta-DHA-For-Baby-(10-Kapsul).jpg
28,Promavit Memelihara Kesehatan Ibu Hamil &amp; Menyusui (10 Kapsul),57000,0,Vitamin dan Suplemen,products/Promavit-Memelihara-Kesehatan-Ibu-Hamil-&amp;-Menyusui-(10-Kapsul).jpg
29,Natur E Skin Start Natural Vitamin E 100 UI (32 Kapsul),40500,0,Vitamin dan Suplemen,products/Natur-E-Skin-Start-Natural-Vitamin-E-100-UI-(32-Kapsul).jpg
30,Merit Pil untuk Melangsingkan &amp; Mengurangi Lemak Tubuh (21 Tablet),14900,0,Vitamin dan Suplemen,products/Merit-Pil-untuk-Melangsingkan-&amp;-Mengurangi-Lemak-Tubuh-(21-Tablet).jpg
31,Enervon Active (30 Tablet),45200,0,Vitamin dan Suplemen,products/Enervon-Active-(30-Tablet).jpg
32,Sakatonik Activ Gummy Multivitamin Zat Besi (6 Gummy),19900,0,Vitamin dan Suplemen,products/Sakatonik-Activ-Gummy-Multivitamin-Zat-Besi-(6-Gummy).jpg
33,Vegeta Herbal Membantu Melancarkan Buang Air Besar (6 Sachet),18600,0,Vitamin dan Suplemen,products/Vegeta-Herbal-Membantu-Melancarkan-Buang-Air-Besar-(6-Sachet).jpg
34,Antangin JRG Syrup 15 ml Box (12 Sachet),49200,0,Vitamin dan Suplemen,products/Antangin-JRG-Syrup-15-ml-Box-(12-Sachet).jpg
35,Curcuma Plus Grow Emulsion Jeruk (200 ml),40700,0,Vitamin dan Suplemen,products/Curcuma-Plus-Grow-Emulsion-Jeruk-(200-ml).jpg
36,Madurasa Jeruk Nipis Memelihara Daya Tahan Tubuh (12 Sachet),15600,0,Vitamin dan Suplemen,products/Madurasa-Jeruk-Nipis-Memelihara-Daya-Tahan-Tubuh-(12-Sachet).jpg
37,Fasfit D 1000 IU untuk Kebutuhan Vitamin D (10 Kaplet),14200,0,Vitamin dan Suplemen,products/Fasfit-D-1000-IU-untuk-Kebutuhan-Vitamin-D-(10-Kaplet).jpg
38,Natur E Advanced Menutrisi kesehatan Kulit (32 Kapsul),89700,0,Vitamin dan Suplemen,products/Natur-E-Advanced-Menutrisi-kesehatan-Kulit-(32-Kapsul).jpg
39,Vitamin A IPI (45 Tablet),6900,0,Vitamin dan Suplemen,products/Vitamin-A-IPI-(45-Tablet).jpg
40,Enervon C (4 Tablet),5800,0,Vitamin dan Suplemen,products/Enervon-C-(4-Tablet).jpg
41,Imboost Force FCT untuk Memelihara Daya Tahan Tubuh (10 Kaplet),82000,0,Vitamin dan Suplemen,products/Imboost-Force-FCT-untuk-Memelihara-Daya-Tahan-Tubuh-(10-Kaplet).jpg
42,Madurasa Original Meningkatkan Daya Tahan Tubuh (12 Sachet),11400,0,Vitamin dan Suplemen,products/Madurasa-Original-Meningkatkan-Daya-Tahan-Tubuh-(12-Sachet).jpg
43,Merit Plus Capsul Botol 30`S,31500,0,Vitamin dan Suplemen,products/Merit-Plus-Capsul-Botol-30`S.jpg
44,Tolak Angin Cair Bebas Gula 15 ml Box 5&#x27;S,25500,0,Vitamin dan Suplemen,products/Tolak-Angin-Cair-Bebas-Gula-15-ml-Box-5&#x27;S.jpg
45,Imboost Extra Kids Mixberry Vitamin Anak 21 Tablet Hisap,36500,0,Vitamin dan Suplemen,products/Imboost-Extra-Kids-Mixberry-Vitamin-Anak-21-Tablet-Hisap.jpg
46,Licokalk untuk Membantu Memelihara Kesehatan Tulang (10 Kaplet),3100,0,Vitamin dan Suplemen,products/Licokalk-untuk-Membantu-Memelihara-Kesehatan-Tulang-(10-Kaplet).jpg
47,Gestiamin Pluz untuk Suplemen Ibu Hamil (10 Kapsul),20000,0,Vitamin dan Suplemen,products/Gestiamin-Pluz-untuk-Suplemen-Ibu-Hamil-(10-Kapsul).jpg
48,Batugin Elixir untuk Meluruhkan Batu Urin - 300 ml,55000,0,Vitamin dan Suplemen,products/Batugin-Elixir-untuk-Meluruhkan-Batu-Urin---300-ml.jpg
49,My Well Vitamin D3 1000 IU Tablet 20`S,18200,0,Vitamin dan Suplemen,products/My-Well-Vitamin-D3-1000-IU-Tablet-20`S.jpg
50,Teorol Drops 400IU untuk Kebutuhan Vitamin D3 (12.5 ml),143400,0,Vitamin dan Suplemen,products/Teorol-Drops-400IU-untuk-Kebutuhan-Vitamin-D3-(12.5-ml).jpg
